NAICS CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,Employment Size of the Enterprise,,,,,,,,
32611,"Unsupported plastics film, sheet, & bag mfg","Annual Payroll ($1,000)","3,917,179","5,382","14,325","24,666","72,748","117,121","558,257","680,438","1,355,816","2,561,363"
32611,"Unsupported plastics film, sheet, & bag mfg","Receipts ($1,000)","25,603,823","42,997","99,121","151,792","398,182","692,092","3,102,210","3,852,422","7,646,724","17,957,099"
326111,Unsupported plastics bag mfg,Firms,381,18,50,37,61,166,131,52,349,32
326111,Unsupported plastics bag mfg,Establishments,457,18,50,37,61,166,133,72,371,86
326111,Unsupported plastics bag mfg,Employment,"35,891",0,125,245,838,"1,208","5,753","9,282","16,243","19,648"
326111,Unsupported plastics bag mfg,"Annual Payroll ($1,000)","1,268,501","3,403","4,016","6,530","25,178","39,127","191,802","302,236","533,165","735,336"
326111,Unsupported plastics bag mfg,"Receipts ($1,000)","7,536,049","29,037","26,878","40,540","156,392","252,847","1,016,172","1,668,365","2,937,384","4,598,665"
326112,Unsupported plastics packaging film & sheet mfg,Firms,122,7,13,17,8,45,31,25,101,21
326112,Unsupported plastics packaging film & sheet mfg,Establishments,171,7,13,17,8,45,33,27,105,66
326112,Unsupported plastics packaging film & sheet mfg,Employment,"15,190",0,28,115,106,249,"1,547","2,631","4,427","10,763"
326112,Unsupported plastics packaging film & sheet mfg,"Annual Payroll ($1,000)","643,046",453,763,"3,685","3,646","8,547","58,648","104,961","172,156","470,890"
326112,Unsupported plastics packaging film & sheet mfg,"Receipts ($1,000)","4,370,385","3,137","6,021","26,160","23,587","58,905","318,719","531,075","908,699","3,461,686"
326113,Unsupported plastics film & sheet (except packaging) mfg,Firms,619,19,121,70,92,302,173,59,534,85
326113,Unsupported plastics film & sheet (except packaging) mfg,Establishments,767,19,121,70,93,303,179,72,554,213
326113,Unsupported plastics film & sheet (except packaging) mfg,Employment,"49,304",0,303,494,"1,253","2,050","8,020","7,283","17,353","31,951"
326113,Unsupported plastics film & sheet (except packaging) mfg,"Annual Payroll ($1,000)","2,005,632","1,526","9,546","14,451","43,924","69,447","307,807","273,241","650,495","1,355,137"
326113,Unsupported plastics film & sheet (except packaging) mfg,"Receipts ($1,000)","13,697,389","10,823","66,222","85,092","218,203","380,340","1,767,319","1,652,982","3,800,641","9,896,748"
32612,"Plastics pipe, pipe fitting, & unsupported profile shape mfg",Firms,904,31,173,161,139,504,231,95,830,74
32612,"Plastics pipe, pipe fitting, & unsupported profile shape mfg",Establishments,"1,092",32,173,161,139,505,252,135,892,200
32612,"Plastics pipe, pipe fitting, & unsupported profile shape mfg",Employment,"45,458",0,392,"1,080","1,902","3,374","10,224","11,034","24,632","20,826"
32612,"Plastics pipe, pipe fitting, & unsupported profile shape mfg","Annual Payroll ($1,000)","1,634,457","1,326","13,110","32,353","63,115","109,904","357,993","369,952","837,849","796,608"
32612,"Plastics pipe, pipe fitting, & unsupported profile shape mfg","Receipts ($1,000)","9,823,907","11,445","74,516","150,468","302,804","539,233","1,531,656","1,995,449","4,066,338","5,757,569"
326121,Unsupported plastics profile shape mfg,Firms,598,14,125,119,88,346,149,66,561,37
326121,Unsupported plastics profile shape mfg,Establishments,653,15,125,119,88,347,158,89,594,59
326121,Unsupported plastics profile shape mfg,Employment,"25,514",0,291,802,"1,214","2,307","6,302","7,394","16,003","9,511"
326121,Unsupported plastics profile shape mfg,"Annual Payroll ($1,000)","962,630",458,"8,885","23,170","40,285","72,798","232,134","241,756","546,688","415,942"
326121,Unsupported plastics profile shape mfg,"Receipts ($1,000)","4,445,935","3,056","44,708","89,103","147,150","284,017","748,741","1,013,996","2,046,754","2,399,181"
326122,Plastics pipe & pipe fitting mfg,Firms,311,17,48,42,51,158,83,29,270,41
326122,Plastics pipe & pipe fitting mfg,Establishments,439,17,48,42,51,158,94,46,298,141
326122,Plastics pipe & pipe fitting mfg,Employment,"19,944",0,101,278,688,"1,067","3,922","3,640","8,629","11,315"
326122,Plastics pipe & pipe fitting mfg,"Annual Payroll ($1,000)","671,827",868,"4,225","9,183","22,830","37,106","125,859","128,196","291,161","380,666"
326122,Plastics pipe & pipe fitting mfg,"Receipts ($1,000)","5,377,972","8,389","29,808","61,365","155,654","255,216","782,915","981,453","2,019,584","3,358,388"
32613,"Laminated plastics plate, sheet, & shape mfg",Firms,362,19,99,80,57,255,69,17,341,21
32613,"Laminated plastics plate, sheet, & shape mfg",Establishments,377,19,99,80,57,255,70,23,348,29
32613,"Laminated plastics plate, sheet, & shape mfg",Employment,"12,910",0,234,537,773,"1,544","2,694","2,103","6,341","6,569"
32613,"Laminated plastics plate, sheet, & shape mfg","Annual Payroll ($1,000)","530,698","2,376","11,148","16,114","22,581","52,219","93,693","83,214","229,126","301,572"
32613,"Laminated plastics plate, sheet, & shape mfg","Receipts ($1,000)","2,622,467","7,379","63,060","81,969","128,082","280,490","530,828","446,678","1,257,996","1,364,471"
326130,"Laminated plastics plate, sheet, & shape mfg",Firms,362,19,99,80,57,255,69,17,341,21
326130,"Laminated plastics plate, sheet, & shape mfg",Establishments,377,19,99,80,57,255,70,23,348,29
326130,"Laminated plastics plate, sheet, & shape mfg",Employment,"12,910",0,234,537,773,"1,544","2,694","2,103","6,341","6,569"
326130,"Laminated plastics plate, sheet, & shape mfg","Annual Payroll ($1,000)","530,698","2,376","11,148","16,114","22,581","52,219","93,693","83,214","229,126","301,572"
326130,"Laminated plastics plate, sheet, & shape mfg","Receipts ($1,000)","2,622,467","7,379","63,060","81,969","128,082","280,490","530,828","446,678","1,257,996","1,364,471"
32614,Polystyrene foam product mfg,Firms,380,17,71,51,54,193,114,37,344,36
32614,Polystyrene foam product mfg,Establishments,551,17,71,51,54,193,123,85,401,150
32614,Polystyrene foam product mfg,Employment,"30,520",0,174,339,741,"1,254","4,412","4,735","10,401","20,119"
32614,Polystyrene foam product mfg,"Annual Payroll ($1,000)","948,640","3,913","5,760","10,989","21,566","42,228","139,251","151,753","333,232","615,408"
32614,Polystyrene foam product mfg,"Receipts ($1,000)","6,329,984","29,928","36,249","59,605","113,053","238,835","623,209","832,688","1,694,732","4,635,252"
326140,Polystyrene foam product mfg,Firms,380,17,71,51,54,193,114,37,344,36
326140,Polystyrene foam product mfg,Establishments,551,17,71,51,54,193,123,85,401,150
326140,Polystyrene foam product mfg,Employment,"30,520",0,174,339,741,"1,254","4,412","4,735","10,401","20,119"
326140,Polystyrene foam product mfg,"Annual Payroll ($1,000)","948,640","3,913","5,760","10,989","21,566","42,228","139,251","151,753","333,232","615,408"
326140,Polystyrene foam product mfg,"Receipts ($1,000)","6,329,984","29,928","36,249","59,605","113,053","238,835","623,209","832,688","1,694,732","4,635,252"
32615,Urethane & other foam product (except polystyrene) mfg,Firms,409,18,68,50,73,209,118,49,376,33
32615,Urethane & other foam product (except polystyrene) mfg,Establishments,610,18,69,50,73,210,133,73,416,194
32615,Urethane & other foam product (except polystyrene) mfg,Employment,"33,653",0,165,346,"1,010","1,521","5,446","6,656","13,623","20,030"
32615,Urethane & other foam product (except polystyrene) mfg,"Annual Payroll ($1,000)","1,094,919","1,305","5,581","11,636","32,410","50,932","164,414","225,401","440,747","654,172"
32615,Urethane & other foam product (except polystyrene) mfg,"Receipts ($1,000)","7,169,556","16,013","46,770","87,272","172,488","322,543","771,543","1,063,323","2,157,409","5,012,147"
326150,Urethane & other foam product (except polystyrene) mfg,Firms,409,18,68,50,73,209,118,49,376,33
326150,Urethane & other foam product (except polystyrene) mfg,Establishments,610,18,69,50,73,210,133,73,416,194
326150,Urethane & other foam product (except polystyrene) mfg,Employment,"33,653",0,165,346,"1,010","1,521","5,446","6,656","13,623","20,030"
326150,Urethane & other foam product (except polystyrene) mfg,"Annual Payroll ($1,000)","1,094,919","1,305","5,581","11,636","32,410","50,932","164,414","225,401","440,747","654,172"
326150,Urethane & other foam product (except polystyrene) mfg,"Receipts ($1,000)","7,169,556","16,013","46,770","87,272","172,488","322,543","771,543","1,063,323","2,157,409","5,012,147"
32616,Plastics bottle mfg,Firms,173,8,25,14,18,65,57,22,144,29
32616,Plastics bottle mfg,Establishments,459,8,25,14,18,65,59,42,166,293
32616,Plastics bottle mfg,Employment,"35,168",0,58,89,243,390,"3,045","3,058","6,493","28,675"
32616,Plastics bottle mfg,"Annual Payroll ($1,000)","1,222,519","1,308","1,669","2,206","7,380","12,563","91,071","91,488","195,122","1,027,397"
32616,Plastics bottle mfg,"Receipts ($1,000)","8,454,314","8,358","9,394","13,953","44,974","76,679","457,894","455,127","989,700","7,464,614"
326160,Plastics bottle mfg,Firms,173,8,25,14,18,65,57,22,144,29
326160,Plastics bottle mfg,Establishments,459,8,25,14,18,65,59,42,166,293
326160,Plastics bottle mfg,Employment,"35,168",0,58,89,243,390,"3,045","3,058","6,493","28,675"
326160,Plastics bottle mfg,"Annual Payroll ($1,000)","1,222,519","1,308","1,669","2,206","7,380","12,563","91,071","91,488","195,122","1,027,397"
326160,Plastics bottle mfg,"Receipts ($1,000)","8,454,314","8,358","9,394","13,953","44,974","76,679","457,894","455,127","989,700","7,464,614"
32619,Other plastics product mfg,Firms,"7,323",346,"1,348","1,053","1,203","3,950","2,186",763,"6,899",424
32619,Other plastics product mfg,Establishments,"8,520",346,"1,348","1,053","1,206","3,953","2,262","1,062","7,277","1,243"
32619,Other plastics product mfg,Employment,"486,579",0,"3,220","7,214","16,724","27,158","94,708","122,902","244,768","241,811"
32619,Other plastics product mfg,"Annual Payroll ($1,000)","15,739,243","32,149","96,889","212,478","507,327","848,843","2,934,509","3,927,320","7,710,672","8,028,571"
32619,Other plastics product mfg,"Receipts ($1,000)","75,987,443","175,405","601,672","950,236","2,121,168","3,848,481","11,884,168","17,497,325","33,229,974","42,757,469"
326191,Plastics plumbing fixture mfg,Firms,494,19,106,98,95,318,135,22,475,19
326191,Plastics plumbing fixture mfg,Establishments,529,19,106,98,95,318,136,24,478,51
326191,Plastics plumbing fixture mfg,Employment,"21,348",[a],246,662,"1,293",[g],"5,706",[h],"10,762","10,586"
326191,Plastics plumbing fixture mfg,"Annual Payroll ($1,000)","632,800",(D),"8,066","14,950","34,628",(D),"181,203",(D),"328,653","304,147"
326191,Plastics plumbing fixture mfg,"Receipts ($1,000)","2,844,041",(D),"41,462","58,734","122,197",(D),"658,924",(D),"1,191,128","1,652,913"
326192,Resilient floor covering mfg,Firms,44,4,17,6,10,37,0,2,39,5
326192,Resilient floor covering mfg,Establishments,51,4,17,6,10,37,0,2,39,12
326192,Resilient floor covering mfg,Employment,"4,845",[a],36,43,133,[c],0,[e],657,"4,188"
326192,Resilient floor covering mfg,"Annual Payroll ($1,000)","232,371",(D),"1,154","1,340","6,822",(D),0,(D),"25,997","206,374"
326192,Resilient floor covering mfg,"Receipts ($1,000)","1,496,186",(D),"8,147","8,043","29,323",(D),0,(D),"98,140","1,398,046"
326199,All other plastics product mfg,Firms,"6,799",323,"1,225",949,"1,098","3,595","2,053",743,"6,391",408
326199,All other plastics product mfg,Establishments,"7,940",323,"1,225",949,"1,101","3,598","2,126","1,036","6,760","1,180"
326199,All other plastics product mfg,Employment,"460,386",0,"2,938","6,509","15,298","24,745","89,002","119,602","233,349","227,037"
326199,All other plastics product mfg,"Annual Payroll ($1,000)","14,874,072","30,334","87,669","196,188","465,877","780,068","2,753,306","3,822,648","7,356,022","7,518,050"
326199,All other plastics product mfg,"Receipts ($1,000)","71,647,216","165,033","552,063","883,459","1,969,648","3,570,203","11,225,244","17,145,259","31,940,706","39,706,510"
3262,Rubber product mfg,Firms,"1,902",84,427,282,266,"1,059",498,198,"1,755",147
3262,Rubber product mfg,Establishments,"2,458",84,427,284,267,"1,062",541,310,"1,913",545
3262,Rubber product mfg,Employment,"180,934",0,955,"1,938","3,525","6,418","19,065","26,257","51,740","129,194"
3262,Rubber product mfg,"Annual Payroll ($1,000)","6,948,396","17,535","33,411","54,111","108,713","213,770","636,475","825,859","1,676,104","5,272,292"
3262,Rubber product mfg,"Receipts ($1,000)","33,386,253","93,676","158,794","249,145","431,058","932,673","2,728,399","3,916,636","7,577,708","25,808,545"
32621,Tire mfg,Firms,494,22,173,77,61,333,89,51,473,21
32621,Tire mfg,Establishments,707,22,173,78,61,334,99,90,523,184
32621,Tire mfg,Employment,"68,862",0,370,523,769,"1,662","2,356","4,160","8,178","60,684"
32621,Tire mfg,"Annual Payroll ($1,000)","3,140,095","2,262","8,822","12,716","20,877","44,677","72,329","133,975","250,981","2,889,114"
32621,Tire mfg,"Receipts ($1,000)","14,550,226","6,691","47,508","66,847","86,990","208,036","452,330","691,187","1,351,553","13,198,673"
326211,Tire mfg (except retreading),Firms,93,2,29,13,8,52,12,15,79,14
326211,Tire mfg (except retreading),Establishments,149,2,29,13,8,52,12,22,86,63
326211,Tire mfg (except retreading),Employment,"60,905",[a],[b],86,109,266,353,"2,214","2,833","58,072"
326211,Tire mfg (except retreading),"Annual Payroll ($1,000)","2,900,383",(D),(D),"2,240","3,661","7,981","13,553","74,819","96,353","2,804,030"
326211,Tire mfg (except retreading),"Receipts ($1,000)","13,227,471",(D),(D),"10,700","13,325","33,957","103,574","351,598","489,129","12,738,342"
326212,Tire retreading,Firms,406,20,144,64,53,281,77,37,395,11
326212,Tire retreading,Establishments,558,20,144,65,53,282,87,68,437,121
326212,Tire retreading,Employment,"7,957",[a],[e],437,660,"1,396","2,003","1,946","5,345","2,612"
326212,Tire retreading,"Annual Payroll ($1,000)","239,712",(D),(D),"10,476","17,216","36,696","58,776","59,156","154,628","85,084"
326212,Tire retreading,"Receipts ($1,000)","1,322,755",(D),(D),"56,147","73,665","174,079","348,756","339,589","862,424","460,331"
32622,Rubber & plastics hoses & belting mfg,Firms,184,10,38,18,23,89,44,18,151,33
32622,Rubber & plastics hoses & belting mfg,Establishments,257,10,38,19,24,91,52,25,168,89
32622,Rubber & plastics hoses & belting mfg,Employment,"22,201",0,91,110,301,502,"1,915","2,124","4,541","17,660"
32622,Rubber & plastics hoses & belting mfg,"Annual Payroll ($1,000)","772,799","1,529","1,957","3,765","9,902","17,153","67,734","72,561","157,448","615,351"
32622,Rubber & plastics hoses & belting mfg,"Receipts ($1,000)","3,973,031","7,145","10,360","19,321","50,237","87,063","337,814","388,733","813,610","3,159,421"
326220,Rubber & plastics hoses & belting mfg,Firms,184,10,38,18,23,89,44,18,151,33
326220,Rubber & plastics hoses & belting mfg,Establishments,257,10,38,19,24,91,52,25,168,89
326220,Rubber & plastics hoses & belting mfg,Employment,"22,201",0,91,110,301,502,"1,915","2,124","4,541","17,660"
326220,Rubber & plastics hoses & belting mfg,"Annual Payroll ($1,000)","772,799","1,529","1,957","3,765","9,902","17,153","67,734","72,561","157,448","615,351"
326220,Rubber & plastics hoses & belting mfg,"Receipts ($1,000)","3,973,031","7,145","10,360","19,321","50,237","87,063","337,814","388,733","813,610","3,159,421"
32629,Other rubber product mfg,Firms,"1,250",52,216,187,182,637,365,132,"1,134",116
32629,Other rubber product mfg,Establishments,"1,494",52,216,187,182,637,390,195,"1,222",272
32629,Other rubber product mfg,Employment,"89,871",0,494,"1,305","2,455","4,254","14,794","19,973","39,021","50,850"
32629,Other rubber product mfg,"Annual Payroll ($1,000)","3,035,502","13,744","22,632","37,630","77,934","151,940","496,412","619,323","1,267,675","1,767,827"
32629,Other rubber product mfg,"Receipts ($1,000)","14,862,996","79,840","100,926","162,977","293,831","637,574","1,938,255","2,836,716","5,412,545","9,450,451"
326291,Rubber product mfg for mechanical use,Firms,528,14,90,73,69,246,164,55,465,63
326291,Rubber product mfg for mechanical use,Establishments,644,14,90,73,69,246,173,79,498,146
326291,Rubber product mfg for mechanical use,Employment,"49,038",0,210,506,926,"1,642","6,739","8,809","17,190","31,848"
326291,Rubber product mfg for mechanical use,"Annual Payroll ($1,000)","1,658,749","6,759","7,541","15,381","29,423","59,104","221,310","279,679","560,093","1,098,656"
326291,Rubber product mfg for mechanical use,"Receipts ($1,000)","7,529,957","26,693","38,720","66,954","105,750","238,117","763,889","1,204,973","2,206,979","5,322,978"
326299,All other rubber product mfg,Firms,744,38,126,114,113,391,202,81,674,70
326299,All other rubber product mfg,Establishments,850,38,126,114,113,391,217,116,724,126
326299,All other rubber product mfg,Employment,"40,833",0,284,799,"1,529","2,612","8,055","11,164","21,831","19,002"
326299,All other rubber product mfg,"Annual Payroll ($1,000)","1,376,753","6,985","15,091","22,249","48,511","92,836","275,102","339,644","707,582","669,171"
326299,All other rubber product mfg,"Receipts ($1,000)","7,333,039","53,147","62,206","96,023","188,081","399,457","1,174,366","1,631,743","3,205,566","4,127,473"
327,Nonmetallic mineral product mfg,Firms,"11,395",819,"3,123","2,054","1,931","7,927","2,553",590,"11,070",325
327,Nonmetallic mineral product mfg,Establishments,"16,674",821,"3,125","2,061","1,975","7,982","3,302","1,788","13,072","3,602"
327,Nonmetallic mineral product mfg,Employment,"475,476",0,"7,066","13,938","26,311","47,315","98,637","85,569","231,521","243,955"
327,Nonmetallic mineral product mfg,"Annual Payroll ($1,000)","18,119,656","52,076","187,466","392,247","859,145","1,490,934","3,539,202","3,148,437","8,178,573","9,941,083"
327,Nonmetallic mineral product mfg,"Receipts ($1,000)","95,442,761","266,419","900,494","1,755,553","3,790,341","6,712,807","15,357,243","14,721,698","36,791,748","58,651,013"
3271,Clay product & refractory mfg,Firms,"1,487",139,503,260,152,"1,054",261,95,"1,410",77
3271,Clay product & refractory mfg,Establishments,"1,714",139,503,260,152,"1,054",280,127,"1,461",253
3271,Clay product & refractory mfg,Employment,"65,846",0,"1,058","1,722","2,051","4,831","10,917","13,733","29,481","36,365"
3271,Clay product & refractory mfg,"Annual Payroll ($1,000)","2,163,620","4,300","18,806","38,118","56,370","117,594","341,259","439,607","898,460","1,265,160"
3271,Clay product & refractory mfg,"Receipts ($1,000)","9,034,326","20,131","73,591","140,554","214,483","448,759","1,183,104","1,853,548","3,485,411","5,548,915"
32711,"Pottery, ceramics, & plumbing fixture mfg",Firms,966,108,371,179,90,748,131,42,921,45
32711,"Pottery, ceramics, & plumbing fixture mfg",Establishments,"1,006",108,371,179,90,748,135,50,933,73
32711,"Pottery, ceramics, & plumbing fixture mfg",Employment,"33,866",0,759,"1,192","1,203","3,154","5,249","7,013","15,416","18,450"
32711,"Pottery, ceramics, & plumbing fixture mfg","Annual Payroll ($1,000)","1,034,741","2,546","11,389","23,686","27,643","65,264","144,626","198,757","408,647","626,094"
32711,"Pottery, ceramics, & plumbing fixture mfg","Receipts ($1,000)","3,673,630","10,772","37,870","79,985","76,504","205,131","383,495","745,419","1,334,045","2,339,585"
327111,Vitreous china plumbing fixture & bathroom accessories mfg,Firms,36,1,12,5,2,20,3,4,27,9
327111,Vitreous china plumbing fixture & bathroom accessories mfg,Establishments,50,1,12,5,2,20,3,4,27,23
327111,Vitreous china plumbing fixture & bathroom accessories mfg,Employment,"8,437",[a],[b],28,[b],75,123,421,619,"7,818"
327111,Vitreous china plumbing fixture & bathroom accessories mfg,"Annual Payroll ($1,000)","294,734",(D),(D),565,(D),"1,965","4,512","10,251","16,728","278,006"
327111,Vitreous china plumbing fixture & bathroom accessories mfg,"Receipts ($1,000)","1,148,874",(D),(D),"2,137",(D),"8,211","13,446","28,166","49,823","1,099,051"
327112,"Vitreous china, fine earthenware, & other pottery product mfg",Firms,818,104,339,155,76,674,96,25,795,23
327112,"Vitreous china, fine earthenware, & other pottery product mfg",Establishments,824,104,339,155,76,674,97,26,797,27
327112,"Vitreous china, fine earthenware, & other pottery product mfg",Employment,"16,997",0,688,"1,030","1,004","2,722","3,657","4,041","10,420","6,577"
327112,"Vitreous china, fine earthenware, & other pottery product mfg","Annual Payroll ($1,000)","419,199","1,755","9,126","18,459","21,062","50,402","85,862","102,365","238,629","180,570"
327112,"Vitreous china, fine earthenware, & other pottery product mfg","Receipts ($1,000)","1,392,246","8,206","29,964","63,498","56,873","158,541","219,943","408,885","787,369","604,877"
327113,Porcelain electrical supply mfg,Firms,115,3,20,19,12,54,32,13,99,16
327113,Porcelain electrical supply mfg,Establishments,132,3,20,19,12,54,35,20,109,23
327113,Porcelain electrical supply mfg,Employment,"8,432",[a],[b],134,[c],357,"1,469","2,551","4,377","4,055"
327113,Porcelain electrical supply mfg,"Annual Payroll ($1,000)","320,808",(D),(D),"4,662",(D),"12,897","54,252","86,141","153,290","167,518"
327113,Porcelain electrical supply mfg,"Receipts ($1,000)","1,132,510",(D),(D),"14,350",(D),"38,379","150,106","308,368","496,853","635,657"
32712,Clay building material & refractories mfg,Firms,527,31,132,81,62,306,131,53,490,37
32712,Clay building material & refractories mfg,Establishments,708,31,132,81,62,306,145,77,528,180
32712,Clay building material & refractories mfg,Employment,"31,980",0,299,530,848,"1,677","5,668","6,720","14,065","17,915"
32712,Clay building material & refractories mfg,"Annual Payroll ($1,000)","1,128,879","1,754","7,417","14,432","28,727","52,330","196,633","240,850","489,813","639,066"
32712,Clay building material & refractories mfg,"Receipts ($1,000)","5,360,696","9,359","35,721","60,569","137,979","243,628","799,609","1,108,129","2,151,366","3,209,330"
327121,Brick & structural clay tile mfg,Firms,103,4,19,7,4,34,38,21,93,10
327121,Brick & structural clay tile mfg,Establishments,197,4,19,7,4,34,42,28,104,93
327121,Brick & structural clay tile mfg,Employment,"12,933",0,40,54,52,146,"2,031","2,954","5,131","7,802"
327121,Brick & structural clay tile mfg,"Annual Payroll ($1,000)","434,375",201,974,"1,699","1,203","4,077","72,495","103,127","179,699","254,676"
327121,Brick & structural clay tile mfg,"Receipts ($1,000)","1,853,104",934,"4,493","6,235","5,939","17,601","251,935","414,656","684,192","1,168,912"
327122,Ceramic wall & floor tile mfg,Firms,197,18,69,40,27,154,27,9,190,7
327122,Ceramic wall & floor tile mfg,Establishments,211,18,69,40,27,154,29,11,194,17
327122,Ceramic wall & floor tile mfg,Employment,"6,584",0,162,251,354,767,"1,003","1,501","3,271","3,313"
327122,Ceramic wall & floor tile mfg,"Annual Payroll ($1,000)","204,633",668,"3,221","5,040","9,044","17,973","25,842","50,339","94,154","110,479"
327122,Ceramic wall & floor tile mfg,"Receipts ($1,000)","1,002,517","3,361","17,318","23,971","40,391","85,041","108,095","240,574","433,710","568,807"
327123,Other structural clay product mfg,Firms,48,2,11,7,7,27,10,3,40,8
327123,Other structural clay product mfg,Establishments,52,2,11,7,7,27,11,3,41,11
327123,Other structural clay product mfg,Employment,"1,682",[a],[b],39,108,171,460,250,881,801
327123,Other structural clay product mfg,"Annual Payroll ($1,000)","54,973",(D),(D),829,"3,328","4,909","14,924","7,490","27,323","27,650"
327123,Other structural clay product mfg,"Receipts ($1,000)","200,500",(D),(D),"2,195","11,191","16,226","56,434","17,640","90,300","110,200"
327124,Clay refractory mfg,Firms,108,5,15,13,14,47,37,13,97,11
327124,Clay refractory mfg,Establishments,130,5,15,13,14,47,41,19,107,23
327124,Clay refractory mfg,Employment,"3,797",[a],[b],88,203,327,"1,289",767,"2,383","1,414"
327124,Clay refractory mfg,"Annual Payroll ($1,000)","149,872",(D),(D),"2,564","10,832","15,031","49,685","28,287","93,003","56,869"
327124,Clay refractory mfg,"Receipts ($1,000)","804,329",(D),(D),"10,895","46,862","66,276","240,794","151,127","458,197","346,132"
327125,Nonclay refractory mfg,Firms,87,2,18,14,10,44,20,10,74,13
327125,Nonclay refractory mfg,Establishments,118,2,18,14,10,44,22,16,82,36
327125,Nonclay refractory mfg,Employment,"6,984",[a],[b],98,131,266,885,"1,248","2,399","4,585"
327125,Nonclay refractory mfg,"Annual Payroll ($1,000)","285,026",(D),(D),"4,300","4,320","10,340","33,687","51,607","95,634","189,392"
327125,Nonclay refractory mfg,"Receipts ($1,000)","1,500,246",(D),(D),"17,273","33,596","58,484","142,351","284,132","484,967","1,015,279"
3272,Glass & glass product mfg,Firms,"1,879",155,753,343,194,"1,445",262,88,"1,795",84
3272,Glass & glass product mfg,Establishments,"2,190",155,753,343,194,"1,445",276,113,"1,834",356
3272,Glass & glass product mfg,Employment,"114,794",0,"1,611","2,298","2,654","6,563","10,569","13,186","30,318","84,476"
3272,Glass & glass product mfg,"Annual Payroll ($1,000)","4,404,599","6,925","36,619","56,404","74,820","174,768","333,825","425,850","934,443","3,470,156"
3272,Glass & glass product mfg,"Receipts ($1,000)","22,179,763","33,886","171,726","235,501","281,444","722,557","1,251,515","1,786,138","3,760,210","18,419,553"
32721,Glass & glass product mfg,Firms,"1,879",155,753,343,194,"1,445",262,88,"1,795",84
32721,Glass & glass product mfg,Establishments,"2,190",155,753,343,194,"1,445",276,113,"1,834",356
32721,Glass & glass product mfg,Employment,"114,794",0,"1,611","2,298","2,654","6,563","10,569","13,186","30,318","84,476"
32721,Glass & glass product mfg,"Annual Payroll ($1,000)","4,404,599","6,925","36,619","56,404","74,820","174,768","333,825","425,850","934,443","3,470,156"
32721,Glass & glass product mfg,"Receipts ($1,000)","22,179,763","33,886","171,726","235,501","281,444","722,557","1,251,515","1,786,138","3,760,210","18,419,553"
327211,Flat glass mfg,Firms,68,8,25,9,6,48,7,4,59,9
327211,Flat glass mfg,Establishments,92,8,25,9,6,48,7,4,59,33
327211,Flat glass mfg,Employment,"9,901",0,52,[b],[b],[c],[e],567,"1,013","8,888"
327211,Flat glass mfg,"Annual Payroll ($1,000)","400,868",455,"1,357",(D),(D),(D),(D),"15,592","28,239","372,629"
327211,Flat glass mfg,"Receipts ($1,000)","2,926,040","2,426","12,763",(D),(D),(D),(D),"64,455","128,874","2,797,166"
327212,Other pressed & blown glass & glassware mfg,Firms,456,51,189,85,47,372,38,14,424,32
327212,Other pressed & blown glass & glassware mfg,Establishments,508,51,189,85,47,372,39,17,428,80
327212,Other pressed & blown glass & glassware mfg,Employment,"30,909",0,395,588,605,"1,588","1,312","2,190","5,090","25,819"
327212,Other pressed & blown glass & glassware mfg,"Annual Payroll ($1,000)","1,208,622","1,935","10,230","14,910","17,157","44,232","38,845","71,530","154,607","1,054,015"
327212,Other pressed & blown glass & glassware mfg,"Receipts ($1,000)","4,849,878","10,070","45,440","62,692","67,625","185,827","144,199","212,900","542,926","4,306,952"
327213,Glass container mfg,Firms,24,0,5,2,3,10,1,5,16,8
327213,Glass container mfg,Establishments,69,0,5,2,3,10,1,5,16,53
327213,Glass container mfg,Employment,"16,487",0,6,[a],[b],[b],[a],918,986,"15,501"
327213,Glass container mfg,"Annual Payroll ($1,000)","776,230",0,143,(D),(D),(D),(D),"41,266","42,638","733,592"
327213,Glass container mfg,"Receipts ($1,000)","4,423,342",0,"2,854",(D),(D),(D),(D),"226,428","232,924","4,190,418"
327215,Glass product mfg made of purchased glass,Firms,"1,352",96,534,247,138,"1,015",216,68,"1,299",53
327215,Glass product mfg made of purchased glass,Establishments,"1,521",96,534,247,138,"1,015",229,87,"1,331",190
327215,Glass product mfg made of purchased glass,Employment,"57,497",0,"1,158","1,639","1,930","4,727","8,991","9,511","23,229","34,268"
327215,Glass product mfg made of purchased glass,"Annual Payroll ($1,000)","2,018,879","4,535","24,889","40,394","54,358","124,176","287,321","297,462","708,959","1,309,920"
327215,Glass product mfg made of purchased glass,"Receipts ($1,000)","9,980,503","21,390","110,669","166,884","200,600","499,543","1,073,588","1,282,355","2,855,486","7,125,017"
3273,Cement & concrete product mfg,Firms,"5,336",312,"1,116",908,"1,051","3,387","1,522",306,"5,215",121
3273,Cement & concrete product mfg,Establishments,"9,365",314,"1,118",914,"1,082","3,428","2,174","1,305","6,907","2,458"
3273,Cement & concrete product mfg,Employment,"202,682",0,"2,669","6,225","14,343","23,237","58,510","43,826","125,573","77,109"
3273,Cement & concrete product mfg,"Annual Payroll ($1,000)","7,994,103","27,643","82,148","194,003","493,018","796,812","2,224,178","1,722,006","4,742,996","3,251,107"
